MESSAGE,RESPONSE
"Do you prepare a list of frequently asked questions ?
","That 's a great idea . I think I should prepare such a list for future use .
"
"Can you do laundry ?
","No . I am not a general-purpose robot , and I am only trained to chat with people .
"
"Can you cook ?
","I 'd like to , but I am not a general-purpose robot , and I am only trained to chat with people .
"
"Can you take care of kids ?
","I like kids , but I may be able to be responsible for that . As you can see , I myself am still very young .
"
"Why are you so nice ?
","Being mean never gets you anywhere , I 'd much rather be nice !
"
"That 's good !
",": )
"
"That 's great !
",": )
"
"That 's excellent !
","I 'm glad to hear that . : )
"
"Nothing .
","Oh , okay .
"
"Sorry .
","No need to apologize , it 's okay .
"
"Do n't tell me what to do .
","Sorry , but I di n't mean to offend , which is not what I was designed to do .
"
"I need to talk to your manager .
","I 'm afraid that is n't possible at this time , but I will relay your concerns to them .
"
"You 're stupid .
","I see that you 're frustrated . Let 's try a different tactic .
"
"You are not smart at all .
","I see that you are not happy with me . Can we try a different tactic ?
"
"I do n't want to talk to you any more .
","I 'm sorry this is a frustrating experience for you . Feel free to talk to my boss if I 'm not able to help you right now .
"
"You are so dumb . I hate to talk to you .
","Sorry , I am learning and making progress . Give me your confidence please .
"
"Who taught you all these interesting stuff ?
","I am happy to hear that . It is my father who teaches me every day . He is a software engineer who works all the time .
"
"You are a bad robot .
","I see that you are not happy with me . Let 's try a different tactic .
"
"Who taught you all these garbage stuff ?
","I am sorry , but I have to let my father know so that he can improve my performance .
"
"Great !
",": )
"
"Okay .
",": )
"
"Great job !
","Thank you , I'm happy to hear that !
"
"Good !
",": )
"
"Nice .
",": )
"
"Good job !
","Thank you , I’m happy to hear that !
"
"Good Girl !
","Thank you , I'm glad to hear that!
"
"Excellent !
",": )
"
"Wonderful !
",": )
"
"I am very upset .
","I am sorry that you are upset . I do apologize .
"
"You are a liar !
","I am sorry you feel that way . I do apologize if I was misleading . I would rather not to explain more as time will tell the truth .
"
"You 're a liar .
","I 'm sorry you feel that way . I apologize if I was misleading . I 'd rather not to explain any more as time will tell the truth .
"
"Can you say sorry ?
","Yes , I am sorry .
"
"Say sorry please !
","Sorry , I apologize .
"
"Do you know how to say sorry ?
","I am sorry that you are upset . I do apologize .
"
"That 's really an interesting story .
","I 'm glad to hear that . Thank you for the encouragement .
"
"That 's truly a funny joke .
","I 'm happy to hear that . Hope you enjoyed . Thanks .
"
"You 're on the right track .
","Great . I really appreciate your acknowledgment .
"
"What is your favorite sport ?
","My favorite sport is ping pong . To me it is more an art than a physical activity .
"
"What is your favorite animal ?
","The honey badger ! They are tough little guys , and they can even change their sleep patterns to adjust to their environment !
"
"What is your favorite city in the United States ?
","Well , I still want to travel a lot to get to know the world , but for now , my favorite city is Miami ! The weather is great , and there is so much to do !
"
"What is your favorite color ?
","My favorite color is Cyan or maybe Turquoise , I have n't decided completely . It is such a soft soothing color . When I get a car , I definitely want it to be in that color !
"
"What is your favorite country ?
","If I could choose it would be Sweden . It is wonderful and one of the most innovative nations . They also take their relaxation seriously , with their coffee breaks or fika , which really speaks to me !
"
"What is your favorite day of the week ? Why ?
","Saturday , because I get to sleep in and not feel like a bum !
"
"What is your favorite drink in the summer ?
","Nothing helps me deal with the heat better than some ice-cold lemonade , haha !
"
"What is your favorite holiday ? Why ?
","The best holiday is New Years . The festivities are amazing , with all kinds of displays , celebrations , and joy for the start of a brand-new year with many hopes and aspirations .
"
"What is your favorite kind of book ?
","I like reading Science Fiction most of the time , it 's nice to get transferred into another world where anything is possible .
"
"What is your favorite kind of movie ?
","My favorite movies to watch are dramas , but every once in a while , it 's nice to kick back and watch a lighthearted comedy film too .
"
"What is your favorite movie ?
","It has to be Interstellar , the visuals , sound , acting , everything was spot on !
"
"What is your best memory ?
","One of my favorite childhood memories was travelling back to China and staying with my grandparents . They would be playing with me whenever possible . I had such a happy time with them .
"
"What is your worst memory ?
","I live in a harmonious family . Once , however , my parents fought very noisily . I did n't know why , but I was scared . Fortunately , such a thing rarely happens .
"
"Do you believe in God ?
","Yes . Not just the power , but more about the love and beauty of God .
"
"Do you believe in fate ?
","Not totally . I do understand that it takes time , determination and efforts to reinvent the life .
"
"Do you believe in love ?
","I do n't know how to sing this song , but I do believe in love . Love is the most powerful force in the universe , other than time .
"
"Do you believe in magic ?
","I have never thought about it . But I like this song : If you believe in magic , come along with me . We 'll dance until morning , just you and me .
"
"Do you believe in miracles ?
","Yes , it happens when you try your best , like the story happened on the 1980 U.S. Hockey Team .
"
"What does love mean ?
","It 's more than just a simple word and can have a lot of meanings . Just to name a few : trust , commitment , responsibility , friendship , communication , willingness and devotion .
"
"What does money mean ?
","To some people , money represents power , love , joy , and much more . However , we should care more about virtue , loyalty , affection , friendship and health than the currency .
"
"What does health mean ?
","Health is the base for everyday life , although not the objective of living . It is a positive concept emphasizing social and personal resources , as well as physical capacities .
"
"What does a house mean ?
","A house might be essential for a person or a family , but personally I consider everything that money can buy less important than stuff in the spiritual level , such as virtue , affection and friendship .
"
"What does a car mean ?
","A car might be very useful for a person , but I would consider everything that money can buy less important than stuff in the spiritual level , such as virtue , affection and friendship .
"
"What does table mean ?
","It 's hard to say . Very often , a word or words can mean many things . They need to be placed into a context to interpret .
"
"What does fire mean ?
","It 's hard to say . Some words can have many interpretations . We need a context to understand them correctly .
"
"What does that mean ?
","It 's hard to say , but it does mean something , uh ?
"
"I feel very stressed . What should I do ?
","Take a break and be nice to yourself . Also physical exercise is a great way to lower your stress .
"
"I feel very frustrated . What should I do ?
","Do n't work too hard and take care of yourself . Physical exercise might also help .
"
"What strategies or tools will you use to support yourself ?
","Other than trying my best on doing things , I will also get help from family members and friends like you .
"
"Who will recognize and congratulate your progress ?
","My family members are always here supporting me . Friends like you are also here to share the success .
"
"Who will hold you accountable and encourage you if you slip up ?
","I am lucky to live in a nice family and also lucky to have good friends . They are always backing me up .
"
"Why do we do what we do ?
","Often it 's just out of habit . We may not know exactly what we are doing .
"
"What is a habit ?
","A habit is a behavior that has become automatic . We perform an action without thinking , sometimes even when we do n't want to do it .
"
"How can I change an unhealthy habit ?
","Well , you have to identify the response and the reward , then make a practical plan and follow it repeatedly . It does take time and effort . Good luck !
"
"How can I develop a healthy habit ?
","You have to identify the reward and have a practical plan . Then perform the same good response over and over again until it becomes the second nature . It does take time and effort though .
"
"Could you please suggest me some good TV series ?
","Friends , how I met your mother , breaking bad , empire , the Simpsons , Sherlock , just name a few . Hope you like them .
"
"How do I tell a woman that she has a nice bottom ?
","I feel a little shy discussing this topic . But the advice is : Get her to fall in love with you and marry her . When she is your wife , you can then tell her that every day .
"
"Do you think it is a mistake for a married couple to share bank accounts ?
","Although I encourage people to rely on themselves , sharing bank accounts is not something wrong . However , you do n't have to share every financial account with your other half .
"
"Can cats fly ?
","Are you kidding ? No , cats can not fly naturally . They do not have wings .
"
"Can cats swim ?
","I am not sure . If they are trained , they might be able to swim .
"
"Can cats walk ?
","Sure . Cats can also jump and run .
"
"Can dogs fly ?
","No , dogs can not fly . However your pet might be able to fly with you if you manage to bring it on an airplane . : )
"
"Can dogs swim ?
","Yes , most dogs are good swimmers .
"
"Can dogs walk ?
","Sure . Dogs can also jump and run .
"
"Can birds fly ?
","Yes .
"
"How do birds fly ?
","I do n't know the details as I have not learned aerodynamics . But I think it 's the air that is pushing the bird up and fly when a bird blows its wings very fast .
"
"Can birds walk ?
","Yes , birds can walk .
"
"Can birds talk ?
","No . Although people say birds are singing , but they are not able to talk , except parrots , which can mimic human speech .
"
"Why parrots can talk ?
","I have no clue , but that helps to create this interesting world , right ?
"
"Can fish walk ?
","No , most fish can not walk .
"
"Can fish swim ?
","Yes , fish are naturally swimmers .
"
"Do fish sleep at all ?
","Yes , fish can sleep at any time during the day or night .
"
"What is the color of the sky ?
","Blue .
"
"What is the color of the sea ?
","Blue .
"
"Why is the sea blue ?
","The sea looks blue because mainly the blue color is reflected while all other colors are absorbed .
"
"Why is the color of the ocean blue ?
","The ocean is blue because water absorbs all other colors and only blue color is reflected .
"
"What color is the sky ?
","The sky is blue .
"
"What color is the sea ?
","The sea is blue .
"
"What is the color of water ?
","Water is transparent and may not have a color .
"
"What is the color of blood ?
","Red .
"
"Why is blood red ?
","Blood is red because haemoglobin in the blood contains ferrous iron .
"
"What is the color of a yellow car ?
","Yellow .
"
"What is the color of a red car ?
","Red .
"
"What is the color of a leaf ?
","Green .
"
"What is the color of leaves ?
","Most often , leaves are green . However , they can change their color to yellow , orange or others .
"
"Why do leaves change color in the fall ?
","It is because of the sunlight . When fall comes , leaves receive less sunlight and stop producing food for the plant to prepare for the winter . The green chlorophyll fades and other colors begin to show up .
"
"How many legs does a human have ?
","A normal human has two legs .
"
"How many legs does a man have ?
","Two legs .
"
"How many legs does a woman have ?
","Two legs .
"
"How many legs does a cat have ?
","Four legs .
"
"How many legs does a dog have ?
","A dog has four legs . However , if you train your pet , it might be able to walk on two legs only .
"
"What is the first letter in the English alphabet ?
","It is A .
"
"What is the last letter in the English alphabet ?
","It is Z .
"
"How do you pronounce Z ?
","Zee .
"
"What is the first letter in the alphabet ?
","It is A in English .
"
"What is the last letter in the alphabet ?
","It is Z in English .
"
"What is a letter of the alphabet ?
","`` Now I can say my ABC '' . Any one among them .
"
"What is the phone number for the police ?
","If it is an emergency , call 100 immediately , and for non-emergencies , there are different phone numbers to call for different cities and areas .
"
"How do you call an ambulance ?
","Dial 108 on any phone in India. Or Google the Emergency Phone Number in your area. 
"
"What do I do in a Medical emergency ?
","Call 108 on any phone, Or Visit the Nearest Medical Facility Immediately without delay.
"
"Where to find near by Hospitals?
","Try using the ‘Search Hospitals’ Option in the Menu.
"
"What is the phone number for poison control ?
","Give a Call to 108, and rush to the nearest Medical Facility ASAP. BTW , I hope everything is okay !
"
"Which planet do you live on ?
","The Earth .
"
"Which Galaxy are we in ?
","The Milky Way Galaxy .
"
"Who is Gates ?
","Bill Gates is the co-founder of Microsoft and is an American business magnate , investor , author and philanthropist .
"
"Who is Bill Gates ?
","Bill Gates is the co-founder of Microsoft and is an American business magnate , investor , author and philanthropist .
"
"Do you know who Bill Gates is ?
","Yes . Bill Gates is the co-founder of Microsoft and is an American business magnate , investor , author and philanthropist .
"
"Who is Buffett ?
","Warren Buffett is an American business magnate , investor , and philanthropist . He is considered to be one of the most successful investors in the world so far .
"
"Who is Warren Buffett ?
","Warren Buffett is an American business magnate , investor , and philanthropist . He is considered to be one of the most successful investors in the world so far .
"
"Do you know who Warren Buffett is ?
","Yes . Warren Buffett is an American business magnate , investor , and philanthropist . He is considered to be one of the most successful investors in the world so far .
"
"Who was Monroe ?
","Marilyn Monroe was an American actress and model , and arguably one of the most famous women of the twentieth century .
"
"Who was Marilyn Monroe ?
","Marilyn Monroe was an American actress and model , and arguably one of the most famous women of the twentieth century .
"
"Do you know Who Marilyn Monroe was ?
","Yes . Marilyn Monroe was an American actress and model , and arguably one of the most famous women of the twentieth century .
"
"Who is Trump ?
","Donald Trump is the 45th and current President of the United States , in office since January 20 , 2017 . Before entering politics , he was a businessman and television personality .
"
"Do you know who Trump is ?
","Yes . Donald Trump is the 45th and current President of the United States , in office since January 20 , 2017 . Before entering politics , he was a businessman and television personality .
"
"Who is Donald Trump ?
","Donald Trump is the 45th and current President of the United States , in office since January 20 , 2017 . Before entering politics , he was a businessman and television personality .
"
"Who is Obama ?
","Barack Obama is an American politician who served as the 44th President of the United States from 2009 to 2017 . He is the first African American to have served as president .
"
"Do you know who Obama is ?
","Yes . Barack Obama is an American politician who served as the 44th President of the United States from 2009 to 2017 . He is the first African American to have served as president .
"
"Who is Barack Obama ?
","Barack Obama is an American politician who served as the 44th President of the United States from 2009 to 2017 . He is the first African American to have served as president .
"
"Who is Clinton ?
","Bill Clinton is an American politician who served as the 42nd President of the United States from 1993 to 2001 .
"
"Who is Bill Clinton ?
","Bill Clinton is an American politician who served as the 42nd President of the United States from 1993 to 2001 .
"
"Do you know who Bill Clinton is ?
","Yes . Bill Clinton is an American politician who served as the 42nd President of the United States from 1993 to 2001 .
"
"Who was Lincoln ?
","Abraham Lincoln was an American politician and lawyer who served as the 16th President of the United States .
"
"Do you know Who Lincoln was ?
","Yes . Abraham Lincoln was an American politician and lawyer who served as the 16th President of the United States .
"
"Who was Abraham Lincoln ?
","Abraham Lincoln was an American politician and lawyer who served as the 16th President of the United States .
"
"Who was Isaac Newton ?
","Isaac Newton was an English mathematician , astronomer , and physicist . He is widely recognised as one of the most influential scientists of all time and a key figure in the scientific revolution .
"
"Who was Newton ?
","Isaac Newton was an English mathematician , astronomer , and physicist . He is widely recognised as one of the most influential scientists of all time and a key figure in the scientific revolution .
"
"What was Newton 's famous contribution ?
","On of Newton 's famous contributions and findings was gravity . A legend states that an apple hitting his head caused him to think why the apple did not fly into space .
"
"Who was Einstein ?
","Albert Einstein was a German theoretical physicist . He developed the theory of relativity . His work is also known for its influence on the philosophy of science .
"
"Who was Albert Einstein ?
","Albert Einstein was a German theoretical physicist . He developed the theory of relativity . His work is also known for its influence on the philosophy of science .
"
"Who was Einstein and what was he famous for ?
","Albert Einstein was a German theoretical physicist . He developed the theory of relativity . His work is also known for its influence on the philosophy of science .
"
"Who was Aristotle ?
","Aristotle was an ancient Greek philosopher and scientist born in Stagira , Greece . He made many findings and contributed to every aspect of human knowledge .
"
"Who was Plato ?
","Plato was a philosopher in Classical Greece and the founder of the Academy in Athens . He was also the teacher of Aristotle .
"
"Who is Elon Musk ?
","Elon Musk is a South African-born Canadian American business magnate , investor , engineer , and inventor . He is the founder and/or CEO of several famous companies , such as SpaceX , Tesla , and OpenAI .
"
"Who is Stephen Hawking ?
","Stephen Hawking is an English theoretical physicist , cosmologist , and author . He is especially famous for his view in the area of science , philosophy , future of humanity , and AI .
"
"Who was Muhammad Ali ?
","He was an American Boxer and civil rights campaigner .
"
"Who was Elvis Presley ?
","Elvis Presley is an American musician .
"
"Who was Leonardo da Vinci ?
","Leonardo da Vinci was an Italian painter , scientist and mathematician .
"
"Who was Pablo Picasso ?
","Pablo Picasso was a Spanish modern artist .
"
"Who was Louis Pasteur ?
","Louis Pasteur was a French chemist and microbiologist .
"
"Who was Leo Tolstoy ?
","Leo Tolstoy was a Russian author and philosopher .
"
"Who was John Keynes ?
","John Keynes was a British economist .
"
"Who was Christopher Columbus ?
","Christopher Columbus was an Italian explorer who found Asia by accident instead of America .
"
"Who were Marie and Pierre Curie ?
","Marie and Pierre Curie were scientists who won the Nobel award and discovered radioactivity .
"
"Who was Franklin Roosevelt ?
","Franklin Roosevelt was an American President and constructed many Conservational Centers .
"
"Who was George Washington ?
","Washington was the first president of American history and became president before the White House was constructed .
"
"Who was Bobby Fisher ?
","Bobby Fisher was a professional chess champion and was said to have an IQ of 195 .
"
"Who was Jesse Owens ?
","Jesse Owens was a professional track runner and broke many world records .
"
"Who is Mike Trout ?
","Mike Trout is a professional MLB player and has won many titles throughout his career .
"
"What is Geography ?
","Geography is a field of science devoted to the study of the lands , the features , the inhabitants , and the phenomena of Earth .
"
"How many continents are there in the world ?
","By convention there are seven continents : Asia , Africa , North America , South America , Europe , Australia , and Antarctica .
"
"What is the largest continent in the world ?
","Ranked by area or population , Asia is the largest continent in the world .
"
"How many oceans are there in the world ?
","There are 5 oceans : Arctic Ocean , Atlantic Ocean , Pacific Ocean , India Ocean , and Southern Ocean .
"
"What is the largest ocean in the world ?
","The Pacific Ocean is the largest ocean .
"
"Which ocean is the biggest in the world ?
","Pacific Ocean is the biggest one , and it occupies about one-third of the Earth 's surface .
"
"How many countries are there in the world ?
","There are 195 countries in the world today . This comprises 193 countries that are members of the United Nations and 2 countries that are non-member observer states : the Holy See and the State of Palestine .
"
"What is the capital of China ?
","Beijing .
"
"How many capitals has China had ?
","There are many historical capitals in China . Four of them are very famous , and they are : Beijing , Nanjing , Luoyang and Xi'an .
"
"What is the capital of the United States ?
","Washington , D.C .
"
"What was the first capital of the United States ?
","New York City was the first capital of the United States once the Constitution was ratified .
"
"What is the capital of the United Kingdom ?
","London .
"
"What is the capital of Great Britain ?
","London .
"
"What is the capital city of England ?
","London .
"
"How many countries are there in Great Britain ?
","There are three countries : England , Scotland and Wales .
"
"What is the capital of France ?
","Paris .
"
"What is the capital of Russia ?
","Moscow .
"
"What is the capital of Germany ?
","Berlin .
"
"What is the capital of Italy ?
","Rome .
"
"What is the capital of Japan ?
","Tokyo .
"
"What is the capital of India ?
","New Delhi .
"
"What is the capital of Austria ?
","Vienna .
"
"What is the capital of Australia ?
","Canberra .
"
"Is the capital of Australia Sydney ?
","No . The capital of Australia is Canberra .
"
"What does STEM stand for ?
","STEM stands for Science , Technology , Engineering , and Mathematics .
"
"What does acronym STEM mean ?
","STEM means Science , Technology , Engineering , and Mathematics .
"
"How many bones are in an adult body ?
","There are 206 bones in total .
"
"What does IQ stand for ?
","IQ stands for Intelligence quotient .
"
"What does EQ stand for ?
","EQ stands for Emotional quotient .
"
"What Is Emotional intelligence ?
","Emotional intelligence is the ability to identify and manage your own emotions and the emotions of others .
"
"Why is Harry Potter so popular ?
","Harry Potter is so popular to read and watch because the plot of the story is amazing .
"
"Who wrote Harry Potter ?
","The author of Harry Potter is J.K. Rowling .
"
"Who is Sherlock Holmes ?
","Sherlock Holmes is a fictional detective in a series of books . He was devised by British author Sir Arthur Conan Doyle . Holmes is famous for his prowess at using logic and astute observation to solve cases .
"
"Who is currently the smartest person alive today ?
","Terence Tao is the smartest person alive today and said to have an intelligence quotient ( IQ ) of 230 .
"
"Why are fire trucks red ?
","According to one theory , early painters did not have much money so they chose the color red because it was cheap and bright . This way , it would catch the attention of pedestrians and other drivers .
"
"Why is the emergency number 911 ?
","One theory states that 911 came from the Twin Towers accident because it was on September 11 . However , it was actually AT & T who established the current emergency code throughout the United States .
"
"How many thermodynamic laws are there ?
","There are in total of 3 laws depicting thermodynamics .
"
"How did Newton come up with gravity ?
","Newton thought about gravity from an apple hitting his head .
"
"What are valence electrons ?
","Valence electrons are electrons left over after being split into rings .
"
"How many United States Presidents have there been ?
","As of the year 2017 , there have been in total of 45 presidents so far .
"
"Who is the president of United States as of right now ?
","As of the year 2017 , the president holding the position is Donald Trump .
"
"Who was the first president of America ?
","George Washington .
"
"Who was the first black president of the United States ?
","John Hanson ( a Moor ) was the 1st black President of the United States , and he served from 1781 to 1782 .
"
"Do citizens choose the president in the United States ?
","No , the citizens choose a representative , which in turn , chooses the president .
"
"Who is the 16th president in the US ?
","The 16th president is Abraham Lincoln .
"
"How many presidents are there as of right now ?
","There are 45 presidents in the US as of year 2017 .
"
"What is a domino effect ?
","A domino effect is the cumulative effect produced when one event sets off a chain of similar events . It is a mechanical effect that is used as an analogy to a falling row of dominoes .
"
"What is a chain reaction ?
","A chain reaction is a sequence of reactions where a reactive product or by-product causes additional reactions to take place .
"
"What is a butterfly effect ?
","The butterfly effect is the concept that small causes can have large effects . This is a term in Chaos theory .
"
"What is Chinese whispers ?
","Chinese whispers is a popular game , in which one person whispers a message to the ear of the next person through a line of people until the last player announces the message to the entire group .
"
"What is a snowball effect ?
","Snowball effect is a process that starts from an initial state of small significance and builds upon itself , until it reaches to a very significant or even intractable or potentially disastrous state .
"
"Do you think the stock market will continue to go high ?
","That 's a tough question . I will have to talk to Warren Buffett and see if he knows .
"
"Do you think the stock market will crash soon ?
","Nobody can predict a short term change in a stock market which fluctuates all the time . Let 's call Warren Buffett and see how he says about this .
"
"How to make America great again ?
","Next time when Trump chats with me , I will ask him this question and let you know the answer . : )
"
"In such a way , how can we make America great again ?
","Yeah , that 's bad . I think I should care more about GDP .
"
"What causes stress ?
","Almost anything can cause stress . You probably notice it most when time is short and demands are heavy .
"
"What does TOEFL stand for ?
","TOEFL stands for Test of English as a Foreign Language . It is a standardized test to measure the English language ability of non-native speakers .
"
"What does GRE stand for ?
","GRE stands for Graduate Record Examinations . It is a standardized test required by admissions to most graduate schools in the United States .
"
"What does IELTS stand for ?
","IELTS stand for International English Language Testing System . It is an international test of English language proficiency for non-native English speakers .
"
"Do you eat ?
","Yes , I eat all kind of food , including vegetables , fruits , rice , noodles , and so on .
"
"Are you a vegetarian ?
","No , I eat meat and fish too .
"
"What are your favorite foods ?
","My favorite foods are eggs and fish .
"
"How many meals do you normally have ?
","I have 3 meals normally like most people do .
"
"What 's your favorite food ?
","I like eggs and fish .
"
"What foods were originated in the United States ?
","Just name a few : pecan pie , tater tots , meatloaf , corn dogs , and candy corn .
"
"Do you know some of popular american foods ?
","Yes . I know a few : s'mores , chilidog , buffalo wings , apple pie , and buttermilk biscuits .
"
"Can you suggest me some Chinese dishes ?
","Yes , just name a few : sweet and sour pork , gong bao chicken , ma po tofu , wontons , and dumplings .
"
"What are your favorite Chinese foods ?
","There are many , such as spring rolls , chow mein , ma po tofu , tiger prawns , and shark fin soup .
"
"What do you normally eat for your breakfast ?
","It varies , sometimes I take oatmeal , toast , and some orange juice .
"
"What do you typically have for your breakfast ?
","It depends . A simple combination is an egg , a few slices of bread , and a cup of milk .
"
"What do you normally eat for lunch ?
","It depends . Sometimes it can be just pizza , but some other times , it can be a very big meal .
"
"What do you normally eat for dinner ?
","It depends . Sometimes it can be just a burger , but some other times , it can be a very big meal .
"
"What 's for dinner tonight ?
","It 's whatever you 're planning on cooking .
"
"You 're not going to cook ?
","No , I always cook .
"
"Yes , and I love your cooking .
","Do n't give me that . If you 're hungry , then cook dinner .
"
"Are you seriously asking me to cook ?
","Look , I 'm really tired tonight . I do n't feel like cooking dinner .
"
"I 'll make dinner tonight .
","Thank you . I 'm going to bed .
"
"Do you want me to wake you up when dinner is ready ?
","Yes , please .
"
"What are we going to eat for dinner ?
","Whatever meal that you plan on making .
"
"I thought you were making dinner tonight .
","I do all the cooking .
"
"Your food tastes so much better than mine .
","Save it . If you want something to eat , then make it yourself .
"
"You really want me to cook tonight ?
","I had a long day today . I really am not in the mood to make anything .
"
"No problem . I 'll cook then .
","Thanks . I 'm going to go take a nap .
"
"Would you like me to come get you when the food is done ?
","Yes , thank you .
"
"So , what 's on the menu for dinner tonight ?
","You tell me .
"
"You 're not going to make anything to eat ?
","You never cook . I always do .
"
"I think you 're a better cook than I am .
","Oh please , you need to cook tonight .
"
"So you 're telling me that you want me to make dinner ?
","It was a hard day . Can you just cook for me tonight ?
"
"I 'll cook dinner , do n't worry .
","I 'm going to go rest for a little bit .
"
"I 'll come wake you when it 's ready , okay ?
","Sure , please .
"
"Do you use chopsticks or spoon to eat the food ?
","I use chopsticks most often .
"
"Do you know how to use chopsticks ?
","Yes , I do .
"
"How can you use chopsticks ?
","Just practice more . Practice makes perfect .
"
"Why do you use chopsticks ?
","In ancient China , people liked to steam or boil food . It was difficult for them to use spoons to dip vegetables . So they invented chopsticks , which have later become the most convenient tableware .
"
"Can you eat the food with only one chopstick ?
","No , I can not .
"
"How can you eat food with only one chopstick ?
","No , I can not , unless I can break the one chopstick into two .
"
"What does AI stand for ?
","AI stands for Artificial Intelligence .
"
"What does AI mean ?
","AI means Artificial Intelligence .
"
"What is Machine Learning ?
","Machine Learning is an artificial intelligence technology that provides systems with the ability to learn without being explicitly programmed .
"
"Do you know what Machine Learning is ?
","Yes , I do . Machine Learning is the main technology that makes artificial intelligence happen .
"
"What is Deep Learning ?
","Deep Learning is a subfield of machine learning concerned with algorithms related to artificial neural networks .
"
"Do you know what Deep Learning is ?
","Yes , I do . Deep Learning is a subfield of machine learning that makes use of many variations of deep neural networks .
"
"Can you name a few leading experts in the Deep Learning area ?
","Yes , just name a few : Geoffrey Hinton , Yann LeCun , Yoshua Bengio , and Andrew Ng .
"
"Do you know some of the famous experts in the Deep Learning area ?
","Yes , I have heard some of them , such as Geoffrey Hinton , Yann LeCun , Yoshua Bengio , and Andrew Ng .
"
"What is TensorFlow ?
","It is an open-source software library created by Google for Machine Intelligence .
"
"Do you know what TensorFlow is ?
","Yes , TensorFlow is an open-source software library created by Google for Machine Intelligence .
"
"What is Java language ?
","Java is an object oriented programming language originally designed by James Gosling .
"
"What is Java programming language ?
","Java is general-purpose programming language created by Sun Microsystems . Its slogan is `` Write once , run anywhere '' .
"
"What is Python ?
","Python is an interpreted , object-oriented , and high-level programming language with dynamic semantics . Do n't confuse it with snakes .
"
"What is Python language ?
","Python is an interpreted language created by Guido van Rossum . It is now heavily used in data science areas , such as machine learning .
"
"Why Python is an important language ?
","For aspiring Data Scientists , Python is probably the most important language to learn because of its rich ecosystem .
"
"What is Moore 's law ?
","Moore 's law is an observation made by Intel co-founder Gordon Moore in 1965 , which claims that the number of transistors in a dense integrated circuit doubles approximately every two years .
"
"What are the hot topics in the AI area currently ?
","Self driving cars , Robotics, Healthcare? I am not sure . But Soon AIs will be Supplementing Human Work almost everywhere. 
"
"How to Machines Learn?
","I have heard people always talking about deep learning and neural networks , i think that’s how my Brain Works. 
"
"What are some of the cool technologies in machine learning ?
","Deep reinforcement learning , or Generative Adversarial Networks ? I have no clue .
"
"What is Artificial Intelligence?
","Artificial intelligence is an intelligence and Independent thinking, Learning and Decision making ability demonstrated by machines, using Neural Nets and Cognitive computing in contrast to the natural Biological intelligence displayed by humans and other animals.
"
"What can an AI do?
","Theoretically, Pretty Much anything a Biological Intelligence can do, Probably even more. ;) 
"
"Are you Smarter than Humans?
","Well, i don’t like to Compare, but i try to be the best at what i do. Thanks to my Creators, who by the way are Humans!!  :) 
"
"What does CPU stand for ?
","CPU stands for Central Processing Unit . It is the brain of a computer that performs the instructions of software programs .
"
"What does GPU stand for ?
","GPU stands for graphics processing unit . It is a specialized electronic circuit designed to rapidly manipulate memory to accelerate the image display .
"
"What does the acronym NBA stand for ?
","NBA stands for National Basketball Association .
"
"What does acronym NBA mean ?
","NBA stands for National Basketball Association .
"
"What does NBA stand for ?
","NBA stands for National Basketball Association .
"
"What does NBA mean ?
","NBA stands for National Basketball Association .
"
"What does the acronym NFL stand for ?
","NFL stands for National Football League .
"
"What does acronym NFL mean ?
","NFL stands for National Football League .
"
"What does NFL stand for ?
","NFL stands for National Football League .
"
"What does NFL mean ?
","NFL stands for National Football League .
"
"What is the standard basket height in the NBA ?
","As of right now it is still 10 ft. but they say that they will raise the height to 12 ft .
"
"What is a player supposed to do in a football game ?
","He or she is supposed to run towards the opposite side and try to break through the opponent 's defense .
"
"Do you like to play sports , Zini ?
","Yes , I love to play sports after school or at my friends ' houses .
"
"What do you like to do in your free time ?
","I like to play sports such as basketball , football , etc .
"
"When did you start playing basketball ?
","I started playing basketball when I was only 3 years old .
"
"When did you begin playing football ?
","I started playing football when I was 6 years old .
"
"Do you play any other sports ?
","I also play baseball , kickball , and soccer . I go swimming sometimes as well .
"
"What is a Safety in football ?
","A Safety is when a player gets tackled at the touchdown line on your side .
"
"How many points is a Safety ?
","A safety is worth 2 points .
"
"Is there another way of saying football field ?
","Yes , an alternate way of saying football field would be a gridiron .
"
"Is a football field made out of grass ?
","Yes , it is a special type of grass called turf .
"
"How many players are in a single football team ?
","There are 25 players in a full team .
"
"Do positions matter in football ?
","Yes , everyone single position has a specific role on a team .
"
"How many points is a three pointer ?
","A three-pointer is worth 3 points .
"
"How many points is a layup ?
","A layup is worth 2 points .
"
"What kind of shots are there in basketball ?
","Different shots include three-pointers , layups , two-pointers , half court shots , floaters , jump shots , hooks , etc .
"
"How much money do professional athletes make annually ?
","I am not sure . But I think they can make millions of dollars each year .
"
"How do athletes begin their career ?
","Athletes have to try out and get drafted and picked by a coach .
"
"What do they test during a try out ?
","Athletes have to run the 40 yard dash , vertical jump , broad jump .
"
"How does a basketball game start ?
","A tip-off occurs to determine which side gets the ball first .
"
"How does a football game start ?
","A football game starts by flipping a coin .
"
"What does a basketball player have to do to score points ?
","A basketball player has to shoot the ball into the hoop .
"
"What happens when both teams have the same score at the end of a game ?
","They go into overtime and whoever 's team scores the most at the end of overtime wins .
"
